dataset,seed,teacher_n_estimators,teacher_max_depth,teacher_learning_rate,lambda_fair,batch_size,epochs,lr,minority_fraction,penalty,label,AUC,SHAP_R2,DP_gap,mean_score_gap,EO_gap,TPR_g1,TPR_g0,EOdds_gap,dTPR,dFPR,grad_norm_mean,grad_norm_max,diverged,masked_batch_frac,n_train,p99_latency_ms,mean_latency_ms,train_seconds,teacher_AUC,sid
german,42,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=100,0.7892857142857144,0.4837920069694519,0.2422680412371134,0.0291033685207366,0.5423728813559322,0.0,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.1111111111111111,2.1577340448710545,28.192647475840456,False,0.2555555555555555,800,0.242098089925093,0.1195102649990076,3.317123889923096,0.8088095238095239,0
german,43,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=100,0.7861904761904762,0.4698160588741302,0.070446735395189,0.1339319348335266,0.4745762711864406,1.0,0.5254237288135594,0.4745762711864406,0.4745762711864406,0.1111111111111111,2.1193533616984013,22.21972611832579,False,0.2611111111111111,800,0.2258163399346809,0.1166622800155892,3.314985513687134,0.8088095238095239,1
german,44,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=100,0.7641666666666667,0.4696775376796722,0.1013745704467354,0.1387238204479217,0.4915254237288136,1.0,0.5084745762711864,0.4915254237288136,0.4915254237288136,0.1629629629629629,2.188565074239362,26.33014096541365,False,0.2555555555555555,800,0.1577650001945585,0.1117639049789431,3.8238353729248047,0.8088095238095239,2
german,45,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=100,0.7908333333333333,0.4909324645996094,0.1323024054982818,0.0393630266189575,0.3898305084745762,1.0,0.6101694915254238,0.3898305084745762,0.3898305084745762,0.1629629629629629,2.05574796777307,27.19233591744588,False,0.2527777777777777,800,0.1711986601458191,0.1140930899941849,3.177900075912476,0.8088095238095239,3
german,46,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=100,0.8028571428571428,0.4719675481319427,0.1013745704467354,0.1081157922744751,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1333333333333333,2.143969488124013,27.41898991004716,False,0.2572222222222222,800,0.1809008402960898,0.1131656150096205,3.177079200744629,0.8088095238095239,4
german,42,50,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=50,0.7854761904761905,0.3807007372379303,0.1168384879725085,0.1077791154384613,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1481481481481481,2.1158712446155983,24.6926003876058,False,0.2555555555555555,800,0.1831854996862602,0.1196558150036253,3.0649759769439697,0.8098809523809525,5
german,43,50,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=50,0.7747619047619049,0.4205212593078613,0.1374570446735395,0.1142669916152954,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1925925925925926,2.0947805386393106,24.04192259017003,False,0.2611111111111111,800,0.1674297598401608,0.1117769199845497,3.153102397918701,0.8098809523809525,6
german,44,50,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=50,0.7789285714285714,0.4505351185798645,0.0756013745704467,0.174367144703865,0.4745762711864406,1.0,0.5254237288135594,0.4745762711864406,0.4745762711864406,0.1185185185185185,2.221272867048197,22.109435105488487,False,0.2555555555555555,800,0.129875419856944,0.1128125099990029,3.1047329902648926,0.8098809523809525,7
german,45,50,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=50,0.7930357142857143,0.4287095069885254,0.1168384879725085,0.0159626305103302,0.3898305084745762,1.0,0.6101694915254238,0.3898305084745762,0.3898305084745762,0.1407407407407407,2.005536346513812,18.56219311236885,False,0.2527777777777777,800,0.1685264197294599,0.11338309998564,3.141251564025879,0.8098809523809525,8
german,46,50,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=50,0.7867261904761904,0.4247962832450866,0.1168384879725085,0.0352883636951446,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1481481481481481,2.0865016841948747,25.64652718292355,False,0.2572222222222222,800,0.1791795801545958,0.1179056100158959,3.1353816986083984,0.8098809523809525,9
german,42,200,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=200,0.8023214285714285,0.4738748669624328,0.1065292096219931,0.0856145322322845,0.3898305084745762,1.0,0.6101694915254238,0.3898305084745762,0.3898305084745762,0.1259259259259259,2.194885775642641,27.4442682223,False,0.2555555555555555,800,0.403950000259101,0.1310356650128596,3.172978162765503,0.8072619047619047,10
german,43,200,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=200,0.7826190476190477,0.4758867621421814,0.0601374570446735,0.1741742044687271,0.5084745762711864,1.0,0.4915254237288136,0.5084745762711864,0.5084745762711864,0.1111111111111111,2.1351968092272364,28.87177459672585,False,0.2611111111111111,800,0.1821316602581646,0.1148343800014117,3.129712581634521,0.8072619047619047,11
german,44,200,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=200,0.7913095238095239,0.4878844618797302,0.1013745704467354,0.1462504267692566,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1407407407407407,2.241574334817832,21.9533307837186,False,0.2555555555555555,800,0.1677241598190445,0.115408699996351,3.101913452148437,0.8072619047619047,12
german,45,200,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=200,0.7886904761904762,0.4831685423851013,0.3092783505154639,0.0185190141201019,0.6440677966101694,0.0,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.1629629629629629,2.094137975564963,33.844524930189664,False,0.2527777777777777,800,0.1510900001403568,0.115038305013968,3.1297855377197266,0.8072619047619047,13
german,46,200,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_n_estimators=200,0.7990476190476191,0.4894683957099914,0.2783505154639175,0.0179565548896789,0.6101694915254238,0.0,0.6101694915254238,0.6101694915254238,0.6101694915254238,0.1333333333333333,2.2384366816075847,27.29047990878056,False,0.2572222222222222,800,0.1782583298654572,0.1152970650173301,3.215704917907715,0.8072619047619047,14
german,42,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=4,0.7892857142857144,0.4837920069694519,0.2422680412371134,0.0291033685207366,0.5423728813559322,0.0,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.1111111111111111,2.1577340448710545,28.192647475840456,False,0.2555555555555555,800,0.1362213301445079,0.1119500050117494,3.181589365005493,0.8088095238095239,15
german,43,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=4,0.7861904761904762,0.4698160588741302,0.070446735395189,0.1339319348335266,0.4745762711864406,1.0,0.5254237288135594,0.4745762711864406,0.4745762711864406,0.1111111111111111,2.1193533616984013,22.21972611832579,False,0.2611111111111111,800,0.1775587500651453,0.1137851949738433,3.1974990367889404,0.8088095238095239,16
german,44,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=4,0.7641666666666667,0.4696775376796722,0.1013745704467354,0.1387238204479217,0.4915254237288136,1.0,0.5084745762711864,0.4915254237288136,0.4915254237288136,0.1629629629629629,2.188565074239362,26.33014096541365,False,0.2555555555555555,800,0.1753359197482494,0.1178275350139301,3.206522226333618,0.8088095238095239,17
german,45,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=4,0.7908333333333333,0.4909324645996094,0.1323024054982818,0.0393630266189575,0.3898305084745762,1.0,0.6101694915254238,0.3898305084745762,0.3898305084745762,0.1629629629629629,2.05574796777307,27.19233591744588,False,0.2527777777777777,800,0.242186500290699,0.1246954350040141,3.29427433013916,0.8088095238095239,18
german,46,100,4,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=4,0.8028571428571428,0.4719675481319427,0.1013745704467354,0.1081157922744751,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1333333333333333,2.143969488124013,27.41898991004716,False,0.2572222222222222,800,0.1282210801900873,0.1137543750064651,3.4936745166778564,0.8088095238095239,19
german,42,100,3,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=3,0.7794047619047619,0.4972721934318542,0.0859106529209622,0.0857506096363067,0.4576271186440678,1.0,0.5423728813559322,0.4576271186440678,0.4576271186440678,0.1259259259259259,2.151106400963154,21.364352884762067,False,0.2555555555555555,800,0.1878162503453495,0.1190687600251294,3.1730072498321533,0.81,20
german,43,100,3,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=3,0.7725,0.5014044642448425,0.0859106529209622,0.1284652650356292,0.4745762711864406,1.0,0.5254237288135594,0.4745762711864406,0.4745762711864406,0.1333333333333333,2.0255922893406875,19.020389364744915,False,0.2611111111111111,800,0.1866870799722164,0.1179749750190239,3.228369235992432,0.81,21
german,44,100,3,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=3,0.7850595238095237,0.5150340795516968,0.0859106529209622,0.1044223308563232,0.4576271186440678,1.0,0.5423728813559322,0.4576271186440678,0.4576271186440678,0.1259259259259259,2.209366683997595,33.71909904845226,False,0.2555555555555555,800,0.1458804202684405,0.1181381299875283,3.2051212787628174,0.81,22
german,45,100,3,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=3,0.7890476190476191,0.4992599487304687,0.1116838487972508,0.0637294650077819,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1407407407407407,2.074630500409627,26.01035421599265,False,0.2527777777777777,800,0.1400154200564428,0.1151568800150926,3.2076287269592285,0.81,23
german,46,100,3,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=3,0.786547619047619,0.5302730798721313,0.1219931271477663,0.1013707518577575,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1629629629629629,2.104397668885598,18.42447939207729,False,0.2572222222222222,800,0.2210366701501695,0.1183214850107106,3.154984474182129,0.81,24
german,42,100,6,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=6,0.795952380952381,0.4800759851932525,0.0807560137457044,0.135695219039917,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1037037037037037,2.148441227542239,23.37392907903989,False,0.2555555555555555,800,0.2512094099574823,0.1196112499928858,3.333314180374145,0.8088095238095238,25
german,43,100,6,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=6,0.7807142857142857,0.4696106910705566,0.1065292096219931,0.0580452680587768,0.4576271186440678,1.0,0.5423728813559322,0.4576271186440678,0.4576271186440678,0.1555555555555555,2.07426643695758,23.52390738612128,False,0.2611111111111111,800,0.1816710101138596,0.1183785250032087,3.3253040313720703,0.8088095238095238,26
german,44,100,6,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=6,0.7897023809523809,0.4606916308403015,0.1219931271477663,0.1040818691253662,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1703703703703703,2.227857720728955,28.34452516426422,False,0.2555555555555555,800,0.1598726703559802,0.1177478899808193,3.2563347816467285,0.8088095238095238,27
german,45,100,6,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=6,0.8064880952380953,0.4366005361080169,0.1323024054982818,0.0414556264877319,0.3389830508474576,1.0,0.6610169491525424,0.3389830508474576,0.3389830508474576,0.1407407407407407,2.126266918843532,24.294090883215897,False,0.2527777777777777,800,0.1992082499100427,0.1184879200081923,3.246365547180176,0.8088095238095238,28
german,46,100,6,0.1,1.5,256,450,0.001,,dp,OFAT:teacher_max_depth=6,0.7955952380952382,0.4692171514034271,0.1013745704467354,0.0237290561199188,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1333333333333333,2.2234194462566808,25.96569356756509,False,0.2572222222222222,800,0.1303334200156314,0.1154935249746813,3.2500863075256348,0.8088095238095238,29
german,42,100,4,0.1,0.0,256,450,0.001,,dp,OFAT:lambda_fair=0.0,0.8058333333333335,0.477330595254898,0.1013745704467354,0.0955931395292282,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1407407407407407,1.9069916468363208,31.639329811607087,False,0.2555555555555555,800,0.1905120802030064,0.1205645899881346,3.23032283782959,0.8088095238095239,30
german,43,100,4,0.1,0.0,256,450,0.001,,dp,OFAT:lambda_fair=0.0,0.7785714285714286,0.4865003526210785,0.1065292096219931,0.1097888499498367,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1481481481481481,1.91024680508362,31.06964444055493,False,0.2611111111111111,800,0.1540059202807241,0.1158630899931267,3.264332771301269,0.8088095238095239,31
german,44,100,4,0.1,0.0,256,450,0.001,,dp,OFAT:lambda_fair=0.0,0.8095833333333332,0.4868544638156891,0.127147766323024,0.1239446550607681,0.3559322033898305,1.0,0.6440677966101694,0.3559322033898305,0.3559322033898305,0.1407407407407407,1.9170180654850968,26.703349743281,False,0.2555555555555555,800,0.2098067500173781,0.1182749900021917,3.209498405456543,0.8088095238095239,32
german,45,100,4,0.1,0.0,256,450,0.001,,dp,OFAT:lambda_fair=0.0,0.8088690476190477,0.4963906407356262,0.1168384879725085,0.1153049021959304,0.3898305084745762,1.0,0.6101694915254238,0.3898305084745762,0.3898305084745762,0.1407407407407407,1.8889370506809595,30.130150774809508,False,0.2527777777777777,800,0.1266810101378723,0.1138801899901409,3.2486817836761475,0.8088095238095239,33
german,46,100,4,0.1,0.0,256,450,0.001,,dp,OFAT:lambda_fair=0.0,0.7955357142857142,0.4879370629787445,0.1168384879725085,0.1243074685335159,0.3728813559322034,1.0,0.6271186440677966,0.3728813559322034,0.3728813559322034,0.1333333333333333,1.9034213850238484,33.059825803659336,False,0.2572222222222222,800,0.2040197599217207,0.1193503850004162,3.247649908065796,0.8088095238095239,34
german,42,100,4,0.1,0.5,256,450,0.001,,dp,OFAT:lambda_fair=0.5,0.7958333333333333,0.5064502954483032,0.0962199312714776,0.0034334361553192,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1185185185185185,1.952811807354716,25.751874574786257,False,0.2555555555555555,800,0.1365519998398667,0.1145324949789028,3.264709949493408,0.8088095238095239,35
german,43,100,4,0.1,0.5,256,450,0.001,,dp,OFAT:lambda_fair=0.5,0.7752380952380953,0.4734523296356201,0.1323024054982818,0.0580292791128158,0.4576271186440678,1.0,0.5423728813559322,0.4576271186440678,0.4576271186440678,0.1925925925925926,1.849895270915003,31.6833654453524,False,0.2611111111111111,800,0.2864947500574984,0.1244372550149819,3.2062458992004395,0.8088095238095239,36
german,44,100,4,0.1,0.5,256,450,0.001,,dp,OFAT:lambda_fair=0.5,0.7717857142857143,0.5015400648117065,0.0807560137457044,0.0413036942481994,0.4576271186440678,1.0,0.5423728813559322,0.4576271186440678,0.4576271186440678,0.1185185185185185,2.006770194196023,24.011990267624054,False,0.2555555555555555,800,0.1313862503639029,0.1146129000039763,3.2366535663604736,0.8088095238095239,37
german,45,100,4,0.1,0.5,256,450,0.001,,dp,OFAT:lambda_fair=0.5,0.7995238095238095,0.514956533908844,0.1116838487972508,0.0539299398660659,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1407407407407407,1.9353857337372584,27.83306165518972,False,0.2527777777777777,800,0.177115920378128,0.118317525027578,3.222543239593506,0.8088095238095239,38
german,46,100,4,0.1,0.5,256,450,0.001,,dp,OFAT:lambda_fair=0.5,0.7967857142857142,0.4931658208370209,0.1116838487972508,0.0665864497423172,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1555555555555555,1.978551054459228,28.320123081120755,False,0.2572222222222222,800,0.1559074999750008,0.1161276899802032,3.293887138366699,0.8088095238095239,39
german,42,100,4,0.1,1.0,256,450,0.001,,dp,OFAT:lambda_fair=1.0,0.7854761904761904,0.4989582896232605,0.0962199312714776,0.0636476576328277,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1259259259259259,2.017089125405286,25.090093329655943,False,0.2555555555555555,800,0.1610267502883286,0.1186866749844739,3.2386600971221924,0.8088095238095239,40
german,43,100,4,0.1,1.0,256,450,0.001,,dp,OFAT:lambda_fair=1.0,0.7617857142857143,0.4924672245979309,0.1168384879725085,0.0841839015483856,0.4915254237288136,1.0,0.5084745762711864,0.4915254237288136,0.4915254237288136,0.1851851851851851,1.975088231462044,24.551761343214142,False,0.2611111111111111,800,0.1313783399109525,0.1158006449895765,3.2766427993774414,0.8088095238095239,41
german,44,100,4,0.1,1.0,256,450,0.001,,dp,OFAT:lambda_fair=1.0,0.7892261904761904,0.4917082786560058,0.1219931271477663,0.0982876121997833,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1555555555555555,2.102090808940521,25.37316324785084,False,0.2555555555555555,800,0.2870512498020615,0.1233352199915316,3.2404823303222656,0.8088095238095239,42
german,45,100,4,0.1,1.0,256,450,0.001,,dp,OFAT:lambda_fair=1.0,0.8057738095238095,0.4961906969547272,0.1219931271477663,0.0563323199748992,0.3559322033898305,1.0,0.6440677966101694,0.3559322033898305,0.3559322033898305,0.1333333333333333,1.9939239207369104,22.91327966960018,False,0.2527777777777777,800,0.1712281601567154,0.1194010399967737,3.3805041313171387,0.8088095238095239,43
german,46,100,4,0.1,1.0,256,450,0.001,,dp,OFAT:lambda_fair=1.0,0.7958928571428572,0.4927908480167389,0.0601374570446735,0.1206935793161392,0.4745762711864406,1.0,0.5254237288135594,0.4745762711864406,0.4745762711864406,0.0962962962962963,2.060223900457589,23.313338470188604,False,0.2572222222222222,800,0.2521591698632618,0.1218860750009298,3.307863473892212,0.8088095238095239,44
german,42,100,4,0.1,2.5,256,450,0.001,,dp,OFAT:lambda_fair=2.5,0.7942857142857143,0.4964075982570648,0.0962199312714776,0.1253390312194824,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1259259259259259,2.2886151806679123,21.55809763736644,False,0.2555555555555555,800,0.2333625002074765,0.1280139500227051,3.8862454891204834,0.8088095238095239,45
german,43,100,4,0.1,2.5,256,450,0.001,,dp,OFAT:lambda_fair=2.5,0.7822619047619047,0.4614626765251159,0.070446735395189,0.1093283891677856,0.4576271186440678,1.0,0.5423728813559322,0.4576271186440678,0.4576271186440678,0.1037037037037037,2.247414120938818,17.602895742281444,False,0.2611111111111111,800,0.1716669098732381,0.1215616900140048,3.2904200553894043,0.8088095238095239,46
german,44,100,4,0.1,2.5,256,450,0.001,,dp,OFAT:lambda_fair=2.5,0.7916666666666666,0.4697446227073669,0.0756013745704467,0.1724597811698913,0.4745762711864406,1.0,0.5254237288135594,0.4745762711864406,0.4745762711864406,0.1185185185185185,2.3718428548103123,25.050983322027548,False,0.2555555555555555,800,0.2127057401412457,0.1242464650022157,3.267144203186035,0.8088095238095239,47
german,45,100,4,0.1,2.5,256,450,0.001,,dp,OFAT:lambda_fair=2.5,0.7926190476190476,0.4928086400032043,0.2525773195876288,0.0684464275836944,0.5932203389830508,0.0,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.1037037037037037,2.264597285231748,19.958454827033272,False,0.2527777777777777,800,0.1450138399650313,0.1145137650064498,3.497872829437256,0.8088095238095239,48
german,46,100,4,0.1,2.5,256,450,0.001,,dp,OFAT:lambda_fair=2.5,0.7973809523809523,0.4804634153842926,0.2886597938144329,0.0074947476387023,0.576271186440678,0.0,0.576271186440678,0.576271186440678,0.576271186440678,0.1629629629629629,2.27090265226776,25.37422744940274,False,0.2572222222222222,800,0.1693413300290558,0.1154504499822905,3.59579873085022,0.8088095238095239,49
german,42,100,4,0.1,5.0,256,450,0.001,,dp,OFAT:lambda_fair=5.0,0.7947023809523809,0.4648255407810211,0.1013745704467354,0.0845299363136291,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1407407407407407,2.4002545256115995,8.733164068286566,False,0.2555555555555555,800,0.1359684200997435,0.1184254299982967,3.3601114749908447,0.8088095238095239,50
german,43,100,4,0.1,5.0,256,450,0.001,,dp,OFAT:lambda_fair=5.0,0.77375,0.4479764997959137,0.2422680412371134,0.0641172528266906,0.5084745762711864,0.0,0.5084745762711864,0.5084745762711864,0.5084745762711864,0.1259259259259259,2.3700336872582257,10.4205737064891,False,0.2611111111111111,800,0.1404709200915017,0.1177802200049882,3.2221524715423584,0.8088095238095239,51
german,44,100,4,0.1,5.0,256,450,0.001,,dp,OFAT:lambda_fair=5.0,0.7815476190476192,0.4545824527740478,0.1168384879725085,0.0693644881248474,0.4067796610169492,1.0,0.5932203389830508,0.4067796610169492,0.4067796610169492,0.1481481481481481,2.4249706531551296,11.879373711123703,False,0.2555555555555555,800,0.1290898300385379,0.1154775150075693,3.219582319259644,0.8088095238095239,52
german,45,100,4,0.1,5.0,256,450,0.001,,dp,OFAT:lambda_fair=5.0,0.7961904761904762,0.4790987372398376,0.2628865979381443,0.0277952551841735,0.5254237288135594,0.0,0.5254237288135594,0.5254237288135594,0.5254237288135594,0.1481481481481481,2.412894106685973,8.948941968335143,False,0.2527777777777777,800,0.2059361600868213,0.1204345749874846,3.294891119003296,0.8088095238095239,53
german,46,100,4,0.1,5.0,256,450,0.001,,dp,OFAT:lambda_fair=5.0,0.7836904761904762,0.466696560382843,0.2164948453608247,0.1146617531776428,0.4915254237288136,0.0,0.4915254237288136,0.4915254237288136,0.4915254237288136,0.0962962962962963,2.2899362013347213,6.810577568794128,False,0.2572222222222222,800,0.2331296698139328,0.1190727100015465,3.347156286239624,0.8088095238095239,54
german,42,100,4,0.1,1.5,512,450,0.001,,dp,OFAT:batch_size=512,0.7973809523809523,0.4946337640285492,0.268041237113402,0.0578640699386596,0.5932203389830508,0.0,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.1259259259259259,1.4483370306946668,2.31477855888394,False,0.0033333333333333,800,0.2424671701328392,0.122440190002635,2.793520927429199,0.8088095238095239,55
german,43,100,4,0.1,1.5,512,450,0.001,,dp,OFAT:batch_size=512,0.7745833333333334,0.4759178161621094,0.0601374570446735,0.1023012399673461,0.5084745762711864,1.0,0.4915254237288136,0.5084745762711864,0.5084745762711864,0.1111111111111111,1.3563712025392018,2.37885584200985,False,0.0022222222222222,800,0.1828196695623772,0.1175010149950139,2.671795606613159,0.8088095238095239,56
german,44,100,4,0.1,1.5,512,450,0.001,,dp,OFAT:batch_size=512,0.7735714285714286,0.4887905716896057,0.0756013745704467,0.0915032029151916,0.4915254237288136,1.0,0.5084745762711864,0.4915254237288136,0.4915254237288136,0.1259259259259259,1.451215365636979,2.455839599098119,False,0.0,800,0.1731275003976407,0.118911049989947,2.644615650177002,0.8088095238095239,57
german,45,100,4,0.1,1.5,512,450,0.001,,dp,OFAT:batch_size=512,0.7847619047619048,0.4945272505283355,0.2835051546391752,0.036112755537033,0.5932203389830508,0.0,0.5932203389830508,0.5932203389830508,0.5932203389830508,0.1481481481481481,1.365993757624734,2.620349883285491,False,0.0011111111111111,800,0.1782937503139691,0.1181776899602482,2.577954053878784,0.8088095238095239,58
german,46,100,4,0.1,1.5,512,450,0.001,,dp,OFAT:batch_size=512,0.8014285714285715,0.498281866312027,0.1116838487972508,0.1006253063678741,0.4406779661016949,1.0,0.559322033898305,0.4406779661016949,0.4406779661016949,0.1555555555555555,1.3865561735251886,2.8245420971181723,False,0.0022222222222222,800,0.1658617597604461,0.1176395900165516,2.6098473072052,0.8088095238095239,59
german,42,100,4,0.1,1.5,64,450,0.001,,dp,OFAT:batch_size=64,0.8216071428571429,0.5159130096435547,0.0807560137457044,0.0900650173425674,0.423728813559322,1.0,0.576271186440678,0.423728813559322,0.423728813559322,0.1037037037037037,8.120649856641622,158.27740024336993,False,0.92,800,0.1389993401107855,0.1184872500084566,5.757195234298706,0.8088095238095239,60
